title,company,job_location,experience,skills,link,keywords (Yake),keywords (Rake),keywords ( StackOverflow Tags)
Data Scientist,HP,"Bengaluru, Karnataka",4+ years experience,"['Microsoft Excel', 'Machine Learning', 'Marketing', 'Analysis Skills', 'Tableau', 'Data Warehouse', 'R']",https://indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOefEmXwTDv0x7eeR7AMe8ZO8BrZ0fycdeJ2hcKVZKW6ZdFWBMsZuJTwGhMaM6vXI2Wz-31r1La1ylYmo_Jt83PApAoKZYAaC_1jlaCMahHrdsuuHEiE-FW2eDVansniaIlDtBSsoLW4Z3lpnWKYe_XLzasI9i7mZ3uB1qMHQm4Mbmn8jDAkgU7fWV77d2a8B723JgKYuhFoW_4k7mOY4dFjjrK6WdUJF7lt1Rqb0XiUbMTENHEe-djAQNTWRG1OBGM7c_61ZOyBzo0_8LT1H08D-hTstfmEsxiw6NeGZZBOEmtaCd-nbWXrdddg6tCmZWDkO2mjX0WTtT5gtDC6c039bWh3Uiubz5JB1-183dPKSogORjke_fni-O2Z10y97KouM3tCjfYPp54LDp21U3Xe4VwTNcsDjt3C_ai6yY_dbn4YgQXkOyHt1FLpeSv2NRSt7LhtUeevDfS6QvQ6yPHQCY9kyA8s8Z5CdKxueBccysAYhn-bnT_DOpCFV0LDhBXzPYfcqESOFb_cvzHFy7SncWUdBnh49It6YC01k7gFD41-agV3abBsJh3W1W3AgKDCdT7h17m8rjsX8mInmz6CskyQ-10f50gxNgYrqmJQO3TS_pz4jT5vJ-LDnVtFpYkrgtKcFH6kzh2mpR8KVY-01S-0Mwm7GVlkVTDpsdb7YihRG8LpQm4KKkS0EganNwWnIxnpvxpRTIe-t08BptCd4LU3clLVGRm062ubHcOsqzxV2ehVAcGJFXpeVgETF-o8ezm0pxR_-sZNFld4hNvJo-YwREIto383iNYtn9Fyzeip48ndTBEBEIeTutJgUnWFPfOq8XAccfGuLoKcNmlsxm8oI_Uy1jEZy8bmy8vMggZb385AS7WIyOSkr3Vd5a7JGg2bHPm0N&p=0&fvj=0&vjs=3,"['systems printing company', 'leading personal systems', 'personal systems printing', 'technology makes life', 'create technology makes', 'printing company', 'data', 'experience', 'leading personal', 'personal systems', 'systems printing', 'technology makes', 'makes life', 'pricing', 'world', 'world works', 'advanced', 'ability', 'create technology', 'analytics']","['chance apply statistical methods analyze effect pricing sales decisions business performance experience building interpreting machine learning models real business data', 'required experience validating data flows preparing etl processes according business requirements visualize interpret results analyses', 'additional qualifications 5 years advanced analytics experience advanced proficiency r language required', 'econometrics ,) advanced degree preferred ability design reporting dashboards knowledge reporting software', 'proficient microsoft excel database management manipulate data varying sources highlight patterns', 'including senior leadership design implement dashboards management track current sales', 'ability build strong relationships different functions university degree quantitative discipline', 'including strategy recommendations present results corresponding recommendations relevant stakeholders', 'good understanding financial metrics ability leverage pricing decision financials', 'develop validate statistical models supporting pricing decisions', '6 years ’ experience including graduate postgraduate research', 'neural networks ability merge different data sources', 'develop implement frameworks processes systematic data analysis', 'recommend refine ongoing improvements pricing models algorithms', 'leads project requiring data engineering solutions development', 'analyze data conduct regression analyses', 'experience advance way world works lives', 'create technology makes life better everyone', 'ready purposeful impact way world works', 'g ., quantitative economics quantitative marketing', 'advanced analytics experience marketing', 'leading personal systems printing company', 'data scientists project team', 'analytics experience marketing', 'familiarity relevant languages plus', 'innovation springs team individuals', 'high level emotional maturity', 'high level attention detail', 'data scientist bangalore', 'phd degree mathematics', 'pricing plus scope', 'profit performance', 'strong analytical skills', 'hp world ’', 'pricing plus', 'experience bachelor', 'impact collaborates peers', 'level individual contributors', 'typically interacts high', 'managers program teams', 'collaborating contributing perspectives', 'relationships trends', 'design', 'knowledge', 'future create', 'team player', 'typically 4', 'random forests', 'naïve bayes', 'looking visionaries', 'logit glm', 'junior engineers', 'boosted trees', 'g', 'economics', 'hp', 'tableau', 'statistics', 'shiny', 'science', 'savvy', 'probit', 'post', 'physics', 'master', 'like', 'li', 'incl', 'everywhere', 'equivalent', 'education', 'e', 'diplomatic', 'anomalies']","['random', 'quantitative', 'scope', 'reporting', 'analytical', 'ready', 'merge', 'model', 'flow', 'perspective', 'system', 'building', 'excel', 'maturity', 'performance', 'project', 'visualize', 'glm', 'etl', 'peer', 'dashboard', 'build', 'future', 'detail', 'process', 'e', 's', 'economics', 'innovation', 'manipulate', 'required', 'shiny', 'function', 'varying', 'apply', 'database', 'tree', 'equivalent', 'analysis', 'printing', 'algorithm', 'r', 'solution', 'validating', 'analytics', 'tableau', 'relationship', 'lead', 'master', 'high-level', 'financial', 'trend', 'spring', 'metric', 'regression', 'effect', 'highlight']"
Data Scientist,Canary Health Technologies Inc.,"Mumbai, Maharashtra",3+ years experience,"['Machine Learning', 'Python', 'AWS', 'SQL', 'R']",https://indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0A_7ePXdH7BlE7SUuLF9WlNDZlLUh5Xn4nJcvEH1S8P0f77G0zL-kOZTWw8txe_WrwFSqDgbGF__q3Fqm90wumL4sDpyk8uA_ree1WYrQonaYsSInAIG4KA7Q_bC14CIB80BM6eeTdixGxDN_8zCUTqdKlu3uPp_Rc-fX4rmT-Y1m8729Q4-cTFUGYTA-IGdvbP71yQtp7OEq7iQFIOyZtFeBHzKqd1wJMENkMneTOAoXkMwufm-_PmA50niyerc2tFoKpTt0cZSs1gY-ui6WGGAsxJ8AuvUEeD3BH4UGXvKNfUG9Pxxq255-_lHcf7ldWKkIvR3m896TkY-Xzv_t1aujGCgRp5e7qsRMbWoexoStWejCBlcROEdaQZqvxlL-GNjFyWrTbhSdJTnV9DzQwrZ3SqLVMrdgS8T5zKzG2PFcxghGN5Adx2&p=1&fvj=1&vjs=3,"['based inputted data.this', 'files establishes output', 'scientist build python-based', 'indicating type based', 'type based inputted', 'analytical results indicating', 'prototype analyses raw', 'project requires data', 'requires data scientist', 'analyses raw data', 'raw data files', 'data files establishes', 'data ranges dimensions.this', 'ranges dimensions.this data', 'inputted data.this model', 'data.this model run', 'project requires', 'analyses raw', 'files establishes', 'ranges dimensions.this']","['configure necessary aws infrastructure support modelmodel deployed aws environmentmodel process payloads produce scores saved reporting accessdaily every', 'practical cloud computing experience aws technologies utilizing infrastructure code methodologies create high performance data intensive platforms', 'chemometrics similar added advantageextensive experience model serving workflow tools enable rapid reliable ml experimentation scale', 'based classification model prototype analyses raw data files establishes output data ranges dimensions', 'algorithms worka person experienced performing data analysis model development dataset related spectroscopy', 'sql programming ability quickly create prototype debug solutions cloud native', 'process new data samples received web app stored aws db', 'data model deliver analytical results indicating type based inputted data', 'sample data currently aws cloud model reside deployed', 'model run new samples received cloud', 'deliver core model aws infrastructure', 'project requires data scientist build python', 'deployed model automatically ingest', 'outputs appended existing record review', '5 years work experience', 'accepting payloads outputting staged', 'output scores', 'outputting classification results', 'information provided successful applicant', 'good understanding machine learning', 'programming skills python', 'embedded platforms', 'stratify groups cohorts', 'reporting', 'ins discuss updates', 'preferred ), sagemaker', 'job type', '00 ₹ 450', 'results classify', 'analysis', 'machine learning', '2 years', 'deep learning', '₹ 350', 'temporarily covid', 'specific responsibilities', 'scientific research', 'primary responsibilities', 'developmentwork remotely', 'day check', 'build', 'skills', 'preferred', '00', 'yearexperience', 'resultsknowledge', 'required', 'r', 'progress', 'linux', 'lambda', 'industry', 'etc', 'education', 'ec2', 'develop', 'contractsalary', 'completion', 'challenges', 'bachelor', 'abilities', '3', '19', '000']","['this', 'reporting', 'analytical', 'model', 'python', 'performance', 'native', 'configure', 'dataset', 'lambda', 'scale', 'classification', 'group', 'ml', 'project', 'prototype', 'infrastructure', 'range', 'sample', 'linux', 'embedded', 'file', 'build', 'core', 'process', 'review', 's', 'cloud', 'methodology', 'required', 'analysis', 'platform', 'workflow', 'completion', 'record', 'progress', 'payload', 'output', 'algorithm', 'requires', 'responsibility', 'r', 'solution', 'ingest', 'sql', 'dimension', 'serving', 'web']"
Data Analytics,Peacock Solar,"Gurgaon, Haryana",,[],https://indeed.co.in/company/Peacock-Solar/jobs/Data-Analytic-0da693383fbd1741?fccid=59cd83a7a328f612&vjs=3,"['forecasting optimization methods', 'effective presentations findings', 'quantitative informationdevelop analysis', 'visual displays quantitative', 'solutions existing challenges.ultimately', 'analyticswork advanced analytics', 'advanced analytics areas', 'analysisinteraction clients person', 'clients person meetings', 'person meetings making', 'recommendations effective presentations', 'displays quantitative informationdevelop', 'clients.research develop internal', 'develop internal capabilities', 'internal capabilities enhance', 'capabilities enhance skill-sets', 'enhance skill-sets latest', 'build highly responsive', 'highly responsive web', 'responsive web applications']","['data analyticswork advanced analytics areas like deep learning complex statistical data analysisinteraction clients person meetings making business recommendations effective presentations findings', 'build highly responsive web applications align business needscandidate knowledge ai machine learning language like pythonjob types', 'models provide business solution clients', 'research develop internal capabilities enhance skill', 'sets latest data science developments', 'work producing innovative solutions existing challenges', 'visual displays quantitative informationdevelop analysis', 'forecasting optimization methods', 'work remotely', 'total work', '1 year', 'work', 'yes', 'ultimately', 'time', 'preferred', 'part', 'internshipexperience', 'education', 'bachelor']","['forecasting', 'quantitative', 'model', 'll', 'client', 'solution', 'internal', 'analysis', 'analytics', 'presentation', 'responsive', 'build', 'area', 'capability', 's', 'optimization', 'display', 'web']"
Data Scientist,Globelancer,"New Delhi, Delhi",,[],https://indeed.co.in/company/New-Port-Resorts-Pvt.-Ltd./jobs/Data-Scientist-706d3ff35b095b68?fccid=ba1f7f272ce6cc47&vjs=3,"['statistical analysis.job types', 'advising business potential', 'business potential data', 'insights business mission', 'advanced statistical analysis.job', 'full-time', 'part-time', 'potential data', 'provide new insights', 'analysis.job types', 'advising business', 'business mission', 'advanced statistical', 'statistical analysis.job', 'advising', 'data', 'provide', 'mission', 'types', 'business potential']","['use advanced statistical analysis', 'provide new insights business', 'advising business potential data', 'job types', 'time', 'part', 'mission', 'full']","['analysis', 's', 'insight']"
Data Science/ Machine Learning intern,ProtonMetric,"Delhi, Delhi",,"['Machine Learning', 'Python']",https://indeed.co.in/company/ProtonMetric/jobs/Data-Science-d918a0c154aa655e?fccid=2b17c0278a7bf5e2&vjs=3,"['science good knowledge', 'science.you working special', 'preferred qualification', 'strong background science', 'good knowledge data', 'knowledge data science.you', 'data science.you working', 'working special project', 'background science good', 'science good', 'good knowledge', 'science.you working', 'working special', 'strong background', 'code', 'knowledge data', 'data science.you', 'special project', 'background science', 'preferred']","['main objective project create robust code analysis automatically manual intervention close accuracy compared accuracy manually project', 'score dataset best modelthe code needed systematic properly commented easy build code future', 'running code background provide user scored dataset accuracy best modelif like work', 'need autotune hyperparameter settings models k cross validation', 'strong background science good knowledge data science', 'select best model based matrix misclassification', 'extend internship work time stipend basis', 'build code python achieve following', 'need simple gui python code', 'build major models like regression', 'asking input location datasets user', 'continue permanent basis stipend basis', 'provide guidance feedback continually', 'working special project', 'adjusted r square etc', 'oversampling needed etc', 'like work', 'import dataset', 'interval variables etc', 'deep neural net', 'classify variables id', 'handling date format', '00 ₹ 20', 'ensemble models', 'data cleaning', 'invalid input', 'xgboost etc', '₹ 10', 'handling outlier', 'spelling mistake', 'random forest', 'preferred qualification', 'job type', 'gradient boosting', 'decision tree', '00', 'scoring', 'normalization', 'nominal', 'month', 'modeling', 'internshipsalary', 'imputation', 'end', 'comparison', 'auc', 'also', '5', '4', '3', '2', '1', '000']","['random', 'normalization', 'k', 'model', 'python', 'manual', 'import', 'comparison', 'modeling', 'feedback', 'format', 'dataset', 'select', 'project', 'spelling', 'basis', 'id', 'location', 'build', 'future', 'time', 'regression', 'oversampling', 'boosting', 'permanent', 'tree', 'setting', 'robust', 'auc', 'analysis', 'main', 'input', 'matrix', 'extend', 'square', 'intervention', 'scoring', 'validation', 'r', 'imputation', 'background', 'xgboost', 'gradient', 'date', 'continue']"
Data Scientist,Techlive,"Noida, Uttar Pradesh",,[],https://indeed.co.in/rc/clk?jk=a1ea358f023a69b7&fccid=77cbddd85dccda76&vjs=3,"['co-relationship models arima', 'exponential moving average', 'skills data digger', 'arima exponential moving', 'moving average smoothened', 'smoothened exponential moving', 'moving average croston', 'croston requirement good', 'requirement good oral', 'good oral written', 'oral written communication', 'written communication skills', 'exponential moving', 'moving average', 'models arima exponential', 'average croston requirement', 'co-relationship models', 'analytical self starter', 'data analyst analytical', 'communication skills data']","['relationship models arima exponential moving average smoothened exponential moving average croston requirement good oral written communication skills data digger', 'data analyst analytical self starter', 'co']","['model', 'analytical', 'communication', 'average', 'exponential', 'arima', 'self']"
Data Scientist,CogniSure,"Bengaluru, Karnataka",1+ years experience,"['Statistical Analysis', 'Machine Learning', 'Python', 'SQL', 'R']",https://indeed.co.in/rc/clk?jk=5017bb0e32ca18f3&fccid=ab5a867b39cf07b5&vjs=3,"['data', 'etc.', 'techniques', 'years', 'experience', 'develop', 'statistical', 'python', 'sql', 'development', 'sets', 'product development', 'outcomes', 'business', 'product', 'knowledge', 'company', 'accuracy', 'analyze', 'drive']","['roles responsibilities analyze data company databases drive optimization improvement product development', 'assess effectiveness accuracy new data sources data gathering techniques', 'develop processes tools monitor analyze model performance data accuracy', 'qualifications strong problem solving skills emphasis product development', 'develop custom data models algorithms apply data sets', 'coordinate different functional teams implement models monitor outcomes', 'manipulate data draw insights large data sets', 'excellent written verbal communication skills coordinating teams', 'use predictive modeling increase optimize customer experiences', 'drive learn master new technologies techniques', 'b testing framework test model quality', 'experience working creating data architectures', 'knowledge variety machine learning techniques', 'knowledge advanced statistical techniques concepts', 'technologies tools needed r', 'ad targeting business outcomes', 'marketing techniques business strategies', 'statistical tests proper usage', 'experience 1 4 years', 'develop company', 'experience statistical languages', 'decision tree learning', 'artificial neural networks', 'experience applications', 'world advantages', 'revenue generation', 'properties distributions', 'etc .)', 'r', 'sql', 'regression', 'real', 'python', 'drawbacks', 'clustering']","['distribution', 'insight', 'model', 'python', 'communication', 'modeling', 'performance', 'product', 'monitor', 'draw', 'customer', 'coordinate', 'process', 'optimization', 'drive', 'manipulate', 'role', 'tree', 'revenue', 'apply', 'architecture', 'database', 'b', 'testing', 'concept', 'targeting', 'algorithm', 'responsibility', 'r', 'master', 'sql', 'set', 'predictive', 'regression', 'proper']"
Data Analyst,Aalgro Foods India Ltd,"Delhi, Delhi",2+ years experience,[],https://indeed.co.in/company/Aalgro-Foods-India-Ltd/jobs/Data-Analyst-c89e62ae756b4aea?fccid=cf0eba782842eb34&vjs=3,"['join growing startup', 'analyst join growing', 'seeking efficient', 'growing startup', 'join growing', 'data', 'preferred', 'market information', 'data analyst join', 'market', 'analyst join', 'information', 'work', 'data analyst', 'analyst', 'seeking', 'efficient', 'startup', 'delhi', 'manage']","['identifying key reports automation reportssuggest solutions integral business teams drive initiatives based solutionssimplify findings presentations', 'strong data analytical skills identity interpret resultsshould able evaluate collected data surveys market research', '2 years relevant data analyst experience willing build career data analyst field', 'organize store data future research projectsdocument data research data', 'work facilitate greater returns analysing survey data market information', 'market information data order translate results better solutions', 'data analyst join growing startup', 'required analyse market information data', 'able organise data tables', 'ability work levels team members', 'manage projects quick turnaround time', 'hands experience microsoft excel', 'possess good communication skills', 'qualities skills required position', 'ownership analytics performance metric', '2 years', 'reports analysis', 'basic knowledge tableau', 'analyze survey', '00 ₹ 360', 'total work', 'information', '₹ 240', 'work', 'seeking efficient', 'job type', 'expert analysis', 'degree must', '1 year', ':** bachelor', 'manage', 'position', '00', 'bachelor', 'yearexperience', 'word', 'timesalary', 'structuring', 'qualifications', 'preferred', 'powerpoint', 'planning', 'location', 'full', 'education', 'delhi', '000']","['communication', 'analytical', 'startup', 'excel', 'key', 'basic', 'performance', 'planning', 'project', 'position', 'location', 'presentation', 'build', 'future', 'evaluate', 'time', 's', 'identity', 'automation', 'drive', 'required', 'analysis', 'survey', 'translate', 'return', 'word', 'integral', 'store', 'solution', 'ownership', 'tableau', 'report', 'analytics', 'join', 'field', 'powerpoint', 'member', 'metric']"
Data Scientist,AnalyticsJobs.in,"Noida, Uttar Pradesh",,"['Machine Learning', 'Analysis Skills', 'Shell Scripting', 'Tableau', 'Python', 'Java', 'SQL', 'R']",https://indeed.co.in/company/AnalyticsJobs.in/jobs/Data-Scientist-569987fed7ae2f49?fccid=a8bff66d19143706&vjs=3,"['sales customer success', 'customer success develop', 'reports deep-dive analysis', 'provide actionable recommendations', 'success develop deliver', 'actionable recommendations business', 'sales customer', 'reports deep-dive', 'hire data scientist', 'deep-dive analysis provide', 'analysis provide actionable', 'scientist work cross-functional', 'deliver data structures', 'customer success', 'success develop', 'actionable recommendations', 'statistical models', 'engineering', 'statistical models data-driven', 'cross-functional teams product']","['drive product road map market strategybuild automated data dashboards visualizations deliver business insights senior leadership teamunderstand business problems provide data', 'java programming languagesexperience data dashboarding visualization tool like tableauexperience machine learning techniques like regression analysis', 'driven solutions add lift key performance metricsinitiate drive projects completion minimal guidancewho apply role', 'years experience working data science business analytics roleexperience working large amounts data sql', 'linux environment automating processes shell scriptingexperience programming python', 'sales customer success develop deliver data structures', 'solving skills good understanding statistics machine learning', 'dive analysis provide actionable recommendations business', 'work team high performing data science professionals', 'driven solutions problemsdevelop statistical models data', 'functional business partners identify business opportunities', 'looking hire data scientist work cross', 'looking problem solver strong analytical problem', 'able work projects conceptualization execution', 'r statistical packagesexperience working unix', 'functional teams product', 'job like', 'degree quantitative discipline', 'decision tree etc', 'bachelors master ’', 'statistical models', 'optimize marketing campaigns', 'science', 'python', 'statistics', 'reports deep', 'plusjob type', 'operations research', 'economics etc4', 'cross', 'marketing', 'fresher', 'engineering']","['insight', 'quantitative', 'model', 'analytical', 'python', 'structure', 'key', 'performance', 'operation', 'project', 'product', 'map', 'linux', 'customer', 'lift', 'dashboard', 'java', 'process', 'environment', 's', 'execution', 'economics', 'drive', 'identify', 'role', 'tree', 'apply', 'analysis', 'add', 'visualization', 'data-driven', 'completion', 'unix', 'shell', 'solver', 'r', 'solution', 'master', 'sql', 'report', 'analytics', 'regression']"
Data Scientist,Eyeota,"Pune, Maharashtra",2+ years experience,"['Machine Learning', 'TensorFlow', 'Cassandra', 'Big Data', 'Tableau', 'Python', 'Go', 'Hadoop', 'Agile', 'Spark', 'Kafka', 'Azure', 'Java', 'SQL', 'AWS']",https://indeed.co.in/rc/clk?jk=13d059ca896412da&fccid=a0ce147eb36e1fa5&vjs=3,"['motivated build large', 'build large scale', 'large scale machine', 'learning solutions shine', 'shine data products', 'scale machine learning', 'machine learning solutions', 'exceptional data scientist', 'data motivated build', 'solutions shine data', 'data', 'motivated build', 'build large', 'large scale', 'solutions shine', 'machine learning', 'scale machine', 'experience', 'eyeota', 'learning solutions']","['person contributing analytics data insight discovery development machine learning pipeline support modeling terabytes daily data use cases', 'eyeota looking exceptional data scientist passionate data motivated build large scale machine learning solutions shine data products', 'scale data proficiency ml algorithms supervised unsupervised learning experience working agile', 'bachelors science engineering working knowledge python sql experience time series data', 'lean model experience java golang plus experience bi toolkit tableau', 'gcp ml stack exposure modern big data tech cassandra', 'united kingdom india eyeota gain work experience global startup', 'scale ml models modern tools libraries aws sagemaker', 'cutting edge advertising technology dull moment work', 'analytics visualization experience working large', 'years relevant working experience master', 'fun workplace filled passionate individuals', 'azure eyeota eyeota provides dynamic', 'spark exposure iaas platforms aws', 'plus exposure building large', 'eyeota equal opportunity employer', 'speak 20 different languages', 'headquarters singapore offices australia', '16 different nationalities 42', 'data manipulation', 'truly global footprint', 'spark ml', 'united states', 'gcp', 'staff multilingual', 'tensorflow', 'superset', 'scylla', 's6qawf82ez', 'quicksight', 'qualifications', 'pytorch', 'lib', 'keras', 'kafka', 'hadoop', 'dask', 'ceph', '2']","['hadoop', 'insight', 'model', 'python', 'tensorflow', 'large-scale', 'startup', 'ceph', 'cassandra', 'modeling', 'superset', 'building', 'scale', 'toolkit', 'case', 'lean', 'ml', 'product', 'multilingual', 'agile', 'exposure', 'series', 'stack', 'build', 'java', 'time', 'dask', 'pytorch', 'dynamic', 'visualization', 'platform', 'azure', 'global', 'footprint', 'pipeline', 'algorithm', 'solution', 'scylla', 'sql', 'tableau', 'gcp', 'discovery', 'analytics', 'master', 'state']"
